CookerStat, GenerateAssetRegistry=222.092590, Initialize=222.585663, GetCookedIniVersionStrings=0.029139, CacheIniVersionStringsMap=0.004802, GetCurrentIniVersionStrings=15.237931, IniSettingsOutOfDate=45.679535, InitializeSandbox=22.148487, SavingAssetRegistry=130.718781, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=0.721384ms, AllOfLoadPackage_HitCount=8, ResolveRedirectors_Duration=544.420723ms, ResolveRedirectors_HitCount=8, CacheForCookedPlatformData_Duration=0.781894ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=5.103748ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=15.849784ms, SavePackageCacheForCookedPlatformData_HitCount=155, SaveCookedPackage_Duration=650.562096ms, SaveCookedPackage_HitCount=154, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_0, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, FlushAsyncLoading=0.008006, FlushStreamingFunc=0.001598, BlockTillAllRequestsFinished=0.020493, ResetLoadersForSaveUnMarkAllObjects=0.259351, TagPackageExports=0.024334, BeginCacheForCookedPlatformData=0.001922, SerializeImports=0.041306, GatherLocalizableTextData=0.001598, MarkNames=0.003524, SerializeSummary=0.010565, SerializeNames=0.020813, SerializeGatherableTextData=0.000961, BuildExportMap=0.011206, SortExportsNonSeekfree=0.003200, SortExportsSeekfreeConstructor=0.060197, SortExportsSeekfreeInner=0.116225, SortExportsSeekfree=0.000641, BuildDependencyMap=0.006724, SerializeImportMap=0.002559, SerializeExportMap=0.000961, SerializeDependencyMap=0.000961, SerializeStringAssetReferenceMap=0.000961, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009608, SerializeExports=0.033297, SerializeBulkData=0.008646, AsyncWrite=0.060197, UnaccountedTime=0.123911, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_1, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/EditorResources/S_Actor.uasset, FlushAsyncLoading=0.003841, FlushStreamingFunc=0.001281, BlockTillAllRequestsFinished=0.001602, ResetLoadersForSaveUnMarkAllObjects=0.110783, TagPackageExports=0.033300, BeginCacheForCookedPlatformData=0.001602, SerializeImports=0.030737, GatherLocalizableTextData=0.000961, MarkNames=0.001919, SerializeSummary=0.005763, SerializeNames=0.011846, SerializeGatherableTextData=0.000641, BuildExportMap=0.006083, SortExportsNonSeekfree=0.001922, SortExportsSeekfreeConstructor=0.006083, SortExportsSeekfreeInner=0.113986, SortExportsSeekfree=0.000961, BuildDependencyMap=0.003841, SerializeImportMap=0.000961, SerializeExportMap=0.000961, SerializeDependencyMap=0.000961, SerializeStringAssetReferenceMap=0.000637, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.005446, SerializeExports=0.025295, SerializeBulkData=0.013124, AsyncWrite=0.051551, UnaccountedTime=0.086449, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_2, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineFonts/Roboto.uasset, FlushAsyncLoading=0.003844, FlushStreamingFunc=0.000957, BlockTillAllRequestsFinished=0.001602, ResetLoadersForSaveUnMarkAllObjects=0.087410, TagPackageExports=0.018891, BeginCacheForCookedPlatformData=0.001602, SerializeImports=0.044506, GatherLocalizableTextData=0.000961, MarkNames=0.002880, SerializeSummary=0.006404, SerializeNames=0.024654, SerializeGatherableTextData=0.000961, BuildExportMap=0.009287, SortExportsNonSeekfree=0.013124, SortExportsSeekfreeConstructor=0.005446, SortExportsSeekfreeInner=0.106301, SortExportsSeekfree=0.002239, BuildDependencyMap=0.009928, SerializeImportMap=0.008326, SerializeExportMap=0.002559, SerializeDependencyMap=0.002239, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.012487, SerializeExports=3.946923, SerializeBulkData=32.278824, AsyncWrite=0.129357, UnaccountedTime=0.088051, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_3, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineMaterials/Widget3DPassThrough_Translucent.uasset, FlushAsyncLoading=0.007682, FlushStreamingFunc=0.001281, BlockTillAllRequestsFinished=0.002243, ResetLoadersForSaveUnMarkAllObjects=0.125192, TagPackageExports=0.009928, BeginCacheForCookedPlatformData=0.001602, SerializeImports=0.020169, GatherLocalizableTextData=0.000961, MarkNames=0.003524, SerializeSummary=0.006404, SerializeNames=0.018891, SerializeGatherableTextData=0.000641, BuildExportMap=0.008963, SortExportsNonSeekfree=0.002563, SortExportsSeekfreeConstructor=0.005763, SortExportsSeekfreeInner=0.253264, SortExportsSeekfree=0.002243, BuildDependencyMap=0.007365, SerializeImportMap=0.002243, SerializeExportMap=0.001281, SerializeDependencyMap=0.001281, SerializeStringAssetReferenceMap=0.000961, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.010245, SerializeExports=0.012167, SerializeBulkData=0.004161, AsyncWrite=0.049949, UnaccountedTime=0.059552, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_4, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineMaterials/Widget3DPassThrough.uasset, FlushAsyncLoading=0.002563, FlushStreamingFunc=0.000961, BlockTillAllRequestsFinished=0.001278, ResetLoadersForSaveUnMarkAllObjects=0.153370, TagPackageExports=0.253264, BeginCacheForCookedPlatformData=0.004806, SerializeImports=0.320185, GatherLocalizableTextData=0.001278, MarkNames=0.011209, SerializeSummary=0.005443, SerializeNames=0.077803, SerializeGatherableTextData=0.000641, BuildExportMap=0.061799, SortExportsNonSeekfree=0.082284, SortExportsSeekfreeConstructor=0.005446, SortExportsSeekfreeInner=0.724576, SortExportsSeekfree=0.000961, BuildDependencyMap=0.014730, SerializeImportMap=0.003200, SerializeExportMap=0.005122, SerializeDependencyMap=0.001922, SerializeStringAssetReferenceMap=0.000641, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.006724, SerializeExports=0.244942, SerializeBulkData=0.002563, AsyncWrite=0.055712, UnaccountedTime=0.069480, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_5, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/Functions/Engine_MaterialFunctions01/Texturing/ScaleUVsByCenter.uasset, FlushAsyncLoading=0.003204, FlushStreamingFunc=0.000961, BlockTillAllRequestsFinished=0.001598, ResetLoadersForSaveUnMarkAllObjects=0.090934, TagPackageExports=0.123270, BeginCacheForCookedPlatformData=0.002243, SerializeImports=0.128713, GatherLocalizableTextData=0.000961, MarkNames=0.007365, SerializeSummary=0.005122, SerializeNames=0.041306, SerializeGatherableTextData=0.000637, BuildExportMap=0.032339, SortExportsNonSeekfree=0.043225, SortExportsSeekfreeConstructor=0.005446, SortExportsSeekfreeInner=0.235654, SortExportsSeekfree=0.000961, BuildDependencyMap=0.011206, SerializeImportMap=0.002243, SerializeExportMap=0.003200, SerializeDependencyMap=0.001602, SerializeStringAssetReferenceMap=0.000637, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.005126, SerializeExports=0.062436, SerializeBulkData=0.001919, AsyncWrite=0.037782, UnaccountedTime=0.058595, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_6, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/Functions/Engine_MaterialFunctions02/Utility/BreakOutFloat2Components.uasset, FlushAsyncLoading=0.003841, FlushStreamingFunc=0.000961, BlockTillAllRequestsFinished=0.001602, ResetLoadersForSaveUnMarkAllObjects=0.091892, TagPackageExports=0.025935, BeginCacheForCookedPlatformData=0.001602, SerializeImports=0.049949, GatherLocalizableTextData=0.000961, MarkNames=0.003200, SerializeSummary=0.004482, SerializeNames=0.023376, SerializeGatherableTextData=0.000641, BuildExportMap=0.010885, SortExportsNonSeekfree=0.015367, SortExportsSeekfreeConstructor=0.005446, SortExportsSeekfreeInner=0.136718, SortExportsSeekfree=0.002239, BuildDependencyMap=0.009287, SerializeImportMap=0.001281, SerializeExportMap=0.001602, SerializeDependencyMap=0.003200, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.007045, SerializeExports=0.040665, SerializeBulkData=0.001919, AsyncWrite=0.038102, UnaccountedTime=0.056993, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_7, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/Functions/Engine_MaterialFunctions02/ScreenResolution.uasset, FlushAsyncLoading=0.003204, FlushStreamingFunc=0.000961, BlockTillAllRequestsFinished=0.001281, ResetLoadersForSaveUnMarkAllObjects=0.144403, TagPackageExports=0.021774, BeginCacheForCookedPlatformData=0.001598, SerializeImports=0.040986, GatherLocalizableTextData=0.000641, MarkNames=0.003200, SerializeSummary=0.004482, SerializeNames=0.022735, SerializeGatherableTextData=0.000641, BuildExportMap=0.011206, SortExportsNonSeekfree=0.009604, SortExportsSeekfreeConstructor=0.005763, SortExportsSeekfreeInner=0.108544, SortExportsSeekfree=0.000961, BuildDependencyMap=0.005763, SerializeImportMap=0.002243, SerializeExportMap=0.001602, SerializeDependencyMap=0.002243, SerializeStringAssetReferenceMap=0.000961, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.010245, SerializeExports=0.038102, SerializeBulkData=0.003200, AsyncWrite=0.043865, UnaccountedTime=0.046745, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_8, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/Functions/Engine_MaterialFunctions02/Texturing/ScreenAlignedUVs.uasset, FlushAsyncLoading=0.003200, FlushStreamingFunc=0.001281, BlockTillAllRequestsFinished=0.001281, ResetLoadersForSaveUnMarkAllObjects=0.148244, TagPackageExports=0.154968, BeginCacheForCookedPlatformData=0.002883, SerializeImports=0.269275, GatherLocalizableTextData=0.000961, MarkNames=0.008643, SerializeSummary=0.005126, SerializeNames=0.046425, SerializeGatherableTextData=0.010245, BuildExportMap=0.053152, SortExportsNonSeekfree=0.131596, SortExportsSeekfreeConstructor=0.005763, SortExportsSeekfreeInner=0.325628, SortExportsSeekfree=0.000961, BuildDependencyMap=0.023372, SerializeImportMap=0.002563, SerializeExportMap=0.005443, SerializeDependencyMap=0.002243, SerializeStringAssetReferenceMap=0.000961, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.006724, SerializeExports=0.154328, SerializeBulkData=0.001922, AsyncWrite=0.039380, UnaccountedTime=0.070121, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_9, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineResources/WhiteSquareTexture.uasset, FlushAsyncLoading=0.003204, FlushStreamingFunc=0.000957, BlockTillAllRequestsFinished=0.001281, ResetLoadersForSaveUnMarkAllObjects=0.082288, TagPackageExports=0.021134, BeginCacheForCookedPlatformData=0.001278, SerializeImports=0.025295, GatherLocalizableTextData=0.000961, MarkNames=0.001922, SerializeSummary=0.004482, SerializeNames=0.008326, SerializeGatherableTextData=0.000641, BuildExportMap=0.005122, SortExportsNonSeekfree=0.001922, SortExportsSeekfreeConstructor=0.005443, SortExportsSeekfreeInner=0.124231, SortExportsSeekfree=0.000641, BuildDependencyMap=0.003520, SerializeImportMap=0.000961, SerializeExportMap=0.000957, SerializeDependencyMap=0.000641, SerializeStringAssetReferenceMap=0.000641, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.003841, SerializeExports=0.020172, SerializeBulkData=0.001602, AsyncWrite=0.033621, UnaccountedTime=0.087090, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
SavePackageTransactionId9C20C11A4B5D0BE88A97BAA0995DEF85_10, Filename=E:/Computing/Unreal/Unreal Projects/GameProject 4.11/Saved/Cooked/WindowsNoEditor/Engine/Content/Functions/Engine_MaterialFunctions01/Shading/PowerToRoughness.uasset, FlushAsyncLoading=0.003200, FlushStreamingFunc=0.000641, BlockTillAllRequestsFinished=0.000961, ResetLoadersForSaveUnMarkAllObjects=0.080686, TagPackageExports=0.034258, BeginCacheForCookedPlatformData=0.001602, SerializeImports=0.063397, GatherLocalizableTextData=0.000961, MarkNames=0.004161, SerializeSummary=0.004482, SerializeNames=0.025295, SerializeGatherableTextData=0.000320, BuildExportMap=0.024654, SortExportsNonSeekfree=0.025615, SortExportsSeekfreeConstructor=0.007685, SortExportsSeekfreeInner=0.173859, SortExportsSeekfree=0.000961, BuildDependencyMap=0.006724, SerializeImportMap=0.001598, SerializeExportMap=0.002243, SerializeDependencyMap=0.000961, SerializeStringAssetReferenceMap=0.000641, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.003841, SerializeExports=0.027217, SerializeBulkData=0.001281, AsyncWrite=0.049308, UnaccountedTime=0.055071, RunGuid=RunID96A0FA654DBB18938AE020A2A4CB53F1
